"BehaviorSpace results (NetLogo 6.0.4)"
"Final Acoustic Deterrence.nlogo"
"experiment"
"12/02/2018 21:19:55:789 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-20","20"
"[run number]","Number-of-Normals","str-of-wave","Number-of-Bigheads","[step]","count bigheads","count normals","into-lake"
"3","10","120","200","0","200","10","0"
"1","10","60","200","0","200","10","0"
"2","10","90","200","0","200","10","0"
"4","20","60","200","0","200","20","0"
"2","10","90","200","1","180","8","0"
"4","20","60","200","1","174","20","0"
"1","10","60","200","1","184","9","0"
"3","10","120","200","1","175","10","0"
"4","20","60","200","2","174","20","0"
"2","10","90","200","2","180","8","0"
"3","10","120","200","2","175","10","0"
"4","20","60","200","3","158","20","0"
"4","20","60","200","4","158","20","0"
"1","10","60","200","2","184","9","0"
"3","10","120","200","3","158","9","0"
"2","10","90","200","3","164","8","0"
"1","10","60","200","3","161","9","0"
"3","10","120","200","4","158","9","0"
"4","20","60","200","5","139","20","0"
"2","10","90","200","4","164","8","0"
"3","10","120","200","5","138","8","0"
"1","10","60","200","4","161","9","0"
"4","20","60","200","6","139","20","0"
"2","10","90","200","5","143","8","0"
"1","10","60","200","5","144","7","0"
"2","10","90","200","6","143","8","0"
"4","20","60","200","7","120","16","0"
"1","10","60","200","6","144","7","0"
"3","10","120","200","6","138","8","0"
"4","20","60","200","8","120","16","0"
"2","10","90","200","7","131","8","0"
"4","20","60","200","9","103","14","0"
"1","10","60","200","7","125","7","0"
"1","10","60","200","8","125","7","0"
"3","10","120","200","7","119","8","0"
"4","20","60","200","10","103","14","0"
"2","10","90","200","8","131","8","0"
"1","10","60","200","9","108","6","0"
"4","20","60","200","11","88","13","0"
"3","10","120","200","8","119","8","0"
"2","10","90","200","9","111","8","0"
"1","10","60","200","10","108","6","0"
"3","10","120","200","9","104","8","0"
"4","20","60","200","12","88","13","0"
"1","10","60","200","11","88","6","0"
"2","10","90","200","10","111","8","0"
"4","20","60","200","13","77","8","0"
"1","10","60","200","12","88","6","0"
"3","10","120","200","10","104","8","0"
"2","10","90","200","11","93","5","0"
"1","10","60","200","13","79","5","0"
"4","20","60","200","14","77","8","0"
"1","10","60","200","14","79","5","0"
"1","10","60","200","15","64","2","0"
"2","10","90","200","12","93","5","0"
"4","20","60","200","15","66","5","0"
"3","10","120","200","11","90","5","0"
"4","20","60","200","16","66","5","0"
"2","10","90","200","13","78","3","0"
"4","20","60","200","17","52","4","0"
"3","10","120","200","12","90","5","0"
"1","10","60","200","16","64","2","0"
"2","10","90","200","14","78","3","0"
"1","10","60","200","17","56","2","0"
"4","20","60","200","18","52","4","0"
"2","10","90","200","15","67","2","0"
"3","10","120","200","13","75","4","0"
"1","10","60","200","18","56","2","0"
"4","20","60","200","19","45","3","0"
"3","10","120","200","14","75","4","0"
"2","10","90","200","16","67","2","0"
"4","20","60","200","20","45","3","0"
"1","10","60","200","19","48","0","0"
"1","10","60","200","20","48","0","0"
"4","20","60","200","21","44","3","0"
"3","10","120","200","15","69","3","0"
"4","20","60","200","22","44","3","0"
"2","10","90","200","17","51","2","0"
"2","10","90","200","18","51","2","0"
"1","10","60","200","21","45","0","0"
"4","20","60","200","23","41","1","0"
"3","10","120","200","16","69","3","0"
"4","20","60","200","24","41","1","0"
"1","10","60","200","22","45","0","0"
"3","10","120","200","17","54","3","0"
"1","10","60","200","23","43","0","0"
"3","10","120","200","18","54","3","0"
"4","20","60","200","25","38","1","0"
"2","10","90","200","19","41","0","0"
"1","10","60","200","24","43","0","0"
"2","10","90","200","20","41","0","0"
"1","10","60","200","25","40","0","0"
"1","10","60","200","26","40","0","0"
"4","20","60","200","26","38","1","0"
"3","10","120","200","19","44","1","0"
"3","10","120","200","20","44","1","0"
"2","10","90","200","21","41","0","0"
"4","20","60","200","27","38","1","0"
"2","10","90","200","22","41","0","0"
"4","20","60","200","28","38","1","0"
"2","10","90","200","23","40","0","0"
"4","20","60","200","29","38","1","0"
"2","10","90","200","24","40","0","0"
"2","10","90","200","25","37","0","0"
"1","10","60","200","27","37","0","0"
"3","10","120","200","21","40","1","0"
"1","10","60","200","28","38","0","0"
"4","20","60","200","30","38","1","0"
"1","10","60","200","29","36","0","0"
"3","10","120","200","22","41","1","0"
"4","20","60","200","31","39","1","0"
"2","10","90","200","26","37","0","0"
"4","20","60","200","32","40","1","0"
"1","10","60","200","30","36","0","0"
"3","10","120","200","23","36","0","0"
"4","20","60","200","33","40","1","0"
"2","10","90","200","27","36","0","0"
"1","10","60","200","31","36","0","0"
"3","10","120","200","24","36","0","0"
"4","20","60","200","34","41","1","0"
"1","10","60","200","32","36","0","0"
"2","10","90","200","28","36","0","0"
"1","10","60","200","33","35","0","0"
"3","10","120","200","25","36","0","0"
"4","20","60","200","35","43","1","0"
"2","10","90","200","29","33","0","0"
"3","10","120","200","26","37","0","0"
"4","20","60","200","36","43","1","0"
"1","10","60","200","34","35","0","0"
"2","10","90","200","30","33","0","0"
"4","20","60","200","37","44","1","0"
"1","10","60","200","35","33","0","0"
"4","20","60","200","38","44","1","0"
"3","10","120","200","27","34","0","0"
"1","10","60","200","36","33","0","0"
"2","10","90","200","31","32","0","0"
"4","20","60","200","39","44","1","0"
"1","10","60","200","37","32","0","0"
"3","10","120","200","28","34","0","0"
"2","10","90","200","32","32","0","0"
"1","10","60","200","38","32","0","0"
"2","10","90","200","33","32","0","0"
"3","10","120","200","29","33","0","0"
"1","10","60","200","39","34","0","0"
"4","20","60","200","40","47","1","0"
"3","10","120","200","30","33","0","0"
"4","20","60","200","41","48","1","0"
"2","10","90","200","34","32","0","0"
"1","10","60","200","40","34","0","0"
"4","20","60","200","42","51","1","0"
"1","10","60","200","41","36","0","0"
"2","10","90","200","35","32","0","0"
"3","10","120","200","31","34","0","0"
"4","20","60","200","43","53","1","0"
"1","10","60","200","42","36","0","0"
"2","10","90","200","36","32","0","0"
"4","20","60","200","44","54","1","0"
"3","10","120","200","32","34","0","0"
"1","10","60","200","43","37","0","0"
"4","20","60","200","45","55","1","0"
"2","10","90","200","37","33","0","0"
"1","10","60","200","44","38","0","0"
"3","10","120","200","33","34","0","0"
"4","20","60","200","46","55","1","0"
